,alltottils,B-cells,DC,Macrophages,Exhausted CD8,T-cells,CD8 T cells,Neutrophils,Cytotoxic cells,Treg,NK CD56dim cells,Mast cells,NK cells,Th1 cells
TCGA.A4.7286.01A.11R.A32Z.07,5.022298262,1.439228475,3.531647577,10.79008539,5.168518155,5.202929328,6.869218915,4.102804198,5.366690636,2.02747257,1.605535466,4.455117047,1.692721868,4.163748284
TCGA.A4.A772.01A.11R.A33Z.07,4.994685255,1.790050865,3.853042228,9.645982513,5.195825823,5.358202046,5.885210124,4.234754513,5.580689423,2.376957114,1.554477576,8.608714306,2.183260273,4.353633818
TCGA.A4.A7UZ.01A.12R.A355.07,6.537786047,4.963276208,4.488903634,8.564622809,6.828125211,7.124002233,8.961297322,6.64287788,7.590179638,5.542867816,2.344433038,9.640080223,3.436910912,5.425805032
TCGA.B3.A6W5.01A.12R.A33Z.07,4.494799291,1.688932532,2.889787969,8.771009957,4.636953567,4.94128668,5.014090725,3.284673056,5.381559947,3.316609184,1.033228509,10.32535871,1.748104971,4.192146811
TCGA.F9.A7VF.01A.11R.A33Z.07,4.492593993,2.252223931,0.42153216,6.515199137,3.879225382,5.076964333,6.3155954,3.914086322,7.079156713,3.146378255,1.515760706,7.950818017,2.003964254,4.714020165
TCGA.IA.A83S.01A.11R.A355.07,4.994872737,2.573565103,4.200135317,9.86350902,4.863203572,5.581253622,5.944828444,5.011471103,5.293120536,3.597340471,1.704297015,5.961443848,1.959238116,3.256633295
TCGA.IA.A83T.01A.11R.A355.07,6.226505935,3.102553019,5.120775751,11.75730595,6.410330107,6.30793222,7.393073232,5.676085505,6.688464011,3.458434503,2.204479758,7.086672038,3.641621389,5.812395539
TCGA.IA.A83V.01A.11R.A355.07,6.014738535,2.847406217,6.762473568,10.9841651,6.076331569,6.782728104,7.687361896,4.502561205,6.75961915,4.468140145,2.666957222,7.220695928,2.87869788,5.307643456
TCGA.IA.A83W.01A.11R.A355.07,5.854188228,3.935736302,5.318517432,9.734193731,6.102777656,5.976634326,7.164546494,4.72842831,6.224044031,3.901938471,3.05223088,9.293177034,2.61803067,5.007953435
TCGA.KV.A74V.01A.11R.A33Z.07,4.511204486,1.487371266,1.985395545,8.213824161,4.395208846,5.247974509,6.205506196,3.274254299,5.881006913,3.371795808,1.207083649,6.758976735,1.368863052,4.559779345
TCGA.MH.A854.01A.11R.A355.07,4.336250613,2.367226143,2.726580943,7.426583275,4.279452964,5.022315667,5.419702289,3.573859711,5.757441763,2.988248404,1.997586656,7.298698782,1.457476771,4.265301862
TCGA.MH.A855.01A.11R.A355.07,6.167352968,3.398851839,5.431922696,9.631913412,5.894823854,6.983364037,8.191158133,4.091653926,6.981933243,2.349874774,3.671636975,5.534671008,3.262660436,5.764486821
TCGA.MH.A856.01A.11R.A355.07,4.498945048,3.196762986,3.143799259,8.294097653,3.972646703,3.879650383,4.092979585,6.896113274,4.418438383,2.510278376,1.213737017,5.998891611,1.204353512,3.349846473
TCGA.MH.A857.01A.11R.A355.07,3.667038685,0.887934368,2.935904959,7.300671813,4.150783844,3.474972838,3.509226364,3.108803142,4.500993931,4.92304932,1.439235041,7.981369478,1.055538513,2.903983042
TCGA.O9.A75Z.01A.11R.A33Z.07,4.677500529,0.718261056,4.425107183,9.00364401,4.653502474,5.456245002,6.37559218,3.944180561,5.375923833,3.070904484,0.75379534,9.63575595,1.555529786,4.364558425
TCGA.SX.A71R.01A.12R.A33Z.07,3.912183962,1.511265743,1.618390361,7.165156512,3.836503287,3.859427803,4.039070218,3.059825339,5.439734073,2.887466782,1.726974978,8.015571294,1.432914137,3.946403363
TCGA.SX.A71S.01A.11R.A33Z.07,3.669296263,0.977690434,4.385711266,8.20550152,3.980987395,3.819440396,3.872062485,3.125408741,3.192406266,3.233934064,0.732221968,7.227038086,0.952342847,2.962197329
TCGA.SX.A71U.01A.12R.A33Z.07,4.783682044,2.179754582,2.134932762,9.442167533,4.503874641,4.913050046,4.328270046,5.156657258,5.405554232,2.351176003,1.945335747,8.307680551,1.89589199,4.019079162
TCGA.SX.A71V.01A.11R.A33Z.07,4.607598134,1.048247371,2.785460902,10.11363215,5.117223181,4.564959688,4.895567356,3.683882556,5.152167192,3.527508284,1.247370362,7.320218146,1.988888344,3.773743199
TCGA.SX.A71W.01A.12R.A355.07,4.511869977,1.972443408,2.423479471,7.914330474,4.385278812,4.303412279,4.917503517,3.580357978,5.656382647,2.927763742,2.583282675,8.85501483,2.282145176,3.9502631
TCGA.SX.A7SL.01A.11R.A355.07,2.669151116,0.58565843,0.870304569,5.390173043,2.866658239,2.497231544,2.628752456,2.459603404,3.531576051,2.29628119,0.830756301,8.304797667,0.751786634,1.82887526
