"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI71.TME.D12",1.92317130932899,1.89748326323296,-0.0194001182033117
"ICP20th.L11.ICPKilo.ROI72.TME.E02",2.41193635968155,2.31357147413166,-0.0600701720342596
"ICP20th.L11.ICPKilo.ROI73.TME.E04",2.3999455664079,2.56752093182307,0.097374354041653
"ICP20th.L11.ICPKilo.ROI74.TME.E06",4.66149970926676,4.03761373901092,-0.207291276096161
"ICP20th.L11.ICPKilo.ROI75.TME.E08",4.17953705541969,2.673377913394,-0.644679357774797
"ICP20th.L11.ICPKilo.ROI76.TME.E10",2.9271673067845,2.40414754163484,-0.283979771153851
"ICP20th.L11.ICPKilo.ROI77.TME.E12",3.72405570379986,2.75031421458233,-0.437278201311406
"ICP20th.L11.ICPKilo.ROI78.TME.F02",3.42713145396664,2.37300485954039,-0.530286475208261
"ICP20th.L11.ICPKilo.ROI79.TME.F04",2.49020170318239,2.19227875491878,-0.183831350467067
"ICP20th.L11.ICPKilo.ROI80.TME.F06",5.76542865301977,4.64846781610262,-0.310672607480067
"ICP20th.L11.ICPKilo.ROI81.TME.F08",3.10342167787479,2.38693886549924,-0.378698120132291
"ICP20th.L11.ICPKilo.ROI82.TME.F10",2.4756626449419,1.82890039302953,-0.436838229859961
"ICP20th.L11.ICPKilo.ROI83.TME.F12",2.69390175073561,3.01763304064219,0.163720142313519
"ICP20th.L11.ICPKilo.ROI84.TME.G02",3.62505578427497,2.08148791113078,-0.800388016636815
"ICP20th.L11.ICPKilo.ROI85.TME.G04",1.29160663722557,1.53104488747994,0.24534982096667
"ICP20th.L11.ICPKilo.ROI86.TME.G06",7.05628013921313,3.89502571132854,-0.857274986379593
"ICP20th.L11.ICPKilo.ROI87.TME.G08",56.4634198999822,36.9746542181674,-0.61077985768565
"ICP20th.L11.ICPKilo.ROI88.TME.G10",11.167383474354,15.0493832519535,0.430413163250022
"ICP20th.L11.ICPKilo.ROI89.TME.G12",2.01124913098939,2.11156482367673,0.0702207400290304
"ICP20th.L11.ICPKilo.ROI90.TME.H02",2.51834328865105,2.25626451545023,-0.15853874436669
"ICP20th.L11.ICPKilo.ROI91.TME.H04",4.21190881360915,4.89441984361253,0.216663658342483
"ICP20th.L11.ICPKilo.ROI92.TME.H06",3.39596896011241,5.10011812916463,0.586707390830441
"ICP20th.L11.ICPKilo.ROI93.TME.H08",3.67978101648386,3.57730917085182,-0.0407451047444303
"ICP20th.L11.ICPKilo.ROI94.TME.H10",3.18530198677559,2.58853071900499,-0.299296716310456
"ICP20th.L11.ICPKilo.ROI95.TME.H12",4.01052809758697,4.45865019676936,0.152814797384268
"ICP20th.L11.ICPKilo.ROI96.TME.A03",3.62981485113371,3.30369292280308,-0.135816366451001
"ICP20th.L11.ICPKilo.ROI97.TME.A05",1.9243438630889,1.21060196680573,-0.668642018844298
"ICP20th.L11.ICPKilo.ROI99.TME.A09",45.3417473721525,19.9931168651792,-1.18133658915594
